#,Tênis Verde,IMDB,Título,1a. Vez,Última Vez,Vezes,Nota
143,instinto-secreto,tt0780571,Instinto Secreto,2011-04-27,2011-04-27,1,5
142,as-maes-de-chico-xavier,tt1882041,As Mães de Chico Xavier,2011-04-27,2011-04-27,1,2
141,amor-e-inocencia,tt0416508,Amor e Inocência,2011-04-27,2011-04-27,1,5
140,a-revolucao-dos-bichos,tt0204824,A Revolução dos Bichos,2011-04-27,2011-04-27,1,5
139,a-minha-versao-do-amor,tt1423894,A Minha Versão do Amor,2011-04-27,2011-04-27,1,5
138,o-senhor-das-armas,tt0399295,O Senhor das Armas,2011-04-07,2011-04-07,1,5
137,o-vencedor,tt0964517,O Vencedor,2011-04-02,2011-04-02,1,4
136,sucker-punch-mundo-surreal,tt0978764,Sucker Punch Mundo Surreal,2011-03-29,2011-03-29,1,3
135,o-julgamento-do-diabo,tt0263265,O Julgamento do Diabo,2011-03-28,2011-03-28,1,3
134,atividade-paranormal-em-toquio,tt1728179,Atividade Paranormal Tóquio,2011-03-28,2011-03-28,1,3
133,arca-russa,tt0318034,Arca Russa,2011-03-28,2011-03-28,1,3
132,loucos-por-nada,tt0494222,Loucos por Nada,2011-03-24,2011-03-24,1,3
131,passe-livre,tt0323593,Passe Livre,2011-03-22,2011-03-22,1,4
130,sexo-sem-compromisso,tt1411238,Sexo Sem Compromisso,2011-03-21,2011-03-21,1,3
129,os-fantasmas-de-scrooge,tt1067106,Os Fantasmas de Scrooge,2011-03-21,2011-03-21,1,4
128,bruna-surfistinha,tt1587828,Bruna Surfistinha,2011-03-15,2011-03-15,1,3
127,o-misterio-da-rua-7,tt1452628,Mistério da Rua 7,2011-03-14,2011-03-14,1,3
126,gnomeu-e-julieta,tt0377981,Gnomeu e Julieta,2011-03-10,2011-03-10,1,3
125,esposa-de-mentirinha,tt1564367,Esposa de Mentirinha,2011-03-09,2011-03-09,1,3
124,cisne-negro,tt0947798,Cisne Negro,2011-02-23,2011-02-23,1,5
123,127-horas,tt1542344,127 Horas,2011-02-23,2011-02-23,1,3
122,simplesmente-feliz,tt1045670,Simplesmente Feliz,2011-02-20,2011-02-20,1,2
121,o-turista,tt1243957,O Turista,2011-02-20,2011-02-20,1,2
120,a-noiva-perfeita,tt0478724,Prête-moi ta main,2011-02-20,2011-02-20,1,3
119,deixe-me-entrar,tt1228987,Deixe-me Entrar,2011-02-17,2011-02-17,1,4
118,um-segredo-entre-nos,tt0961108,Um Segredo entre Nós,2011-02-13,2011-02-13,1,2
117,pagando-bem-que-mal-tem,tt1007028,Pagando Bem Que Mal Tem,2011-02-13,2011-02-13,1,2
116,biutiful,tt1164999,Biutiful,2011-02-13,2011-02-13,1,2
115,o-amor-e-outras-drogas,tt0758752,Amor e Outras Drogas,2011-02-05,2011-02-05,1,3
114,caca-as-bruxas,tt0479997,Caça às Bruxas,2011-02-05,2011-02-05,1,3
113,perfume-a-historia-de-um-assassino,tt0396171,Perfume A História de um Assassino,2011-01-31,2011-01-31,1,5
112,lixo-extraordinario,tt1268204,Lixo Extraordinário,2011-01-30,2011-01-30,1,5
111,inverno-da-alma,tt1399683,Inverno da Alma,2011-01-30,2011-01-30,1,4
110,enrolados,tt0398286,Enrolados,2011-01-30,2014-06-18,1,3
109,garotas-do-calendario,tt0337909,Garotas do Calendário,2011-01-27,2011-01-27,1,2
108,incontrolavel,tt0477080,Incontrolável,2011-01-19,2011-01-19,1,3
107,72-horas,tt1045799,72 horas,2011-01-14,2011-01-14,1,4
106,elsa-e-fred,tt0453047,Elsa e Fred,2010-12-30,2010-12-30,1,4
105,de-pernas-pro-ar,tt1564916,De Pernas pro Ar,2010-12-30,2010-12-30,1,3
104,o-mundo-encantado-de-gigi,tt1039651,O Mundo Encantado de Gigi,2010-12-24,2010-12-24,1,2
103,o-concerto,tt2987582,O concerto,2010-12-24,2010-12-24,1,4
102,meu-malvado-favorito,tt1323594,Meu Malvado Favorito,2010-12-20,2011-11-13,2,3
101,um-dia-muito-especial,tt0076085,Um Dia Muito Especial,2010-12-20,2010-12-20,1,4
100,tres-homens-em-conflito,tt0060196,Três Homens em Conflito,2010-12-20,2010-12-20,1,5
99,sobre-cafe-e-cigarros,tt0379217,Sobre Café e Cigarros,2010-12-20,2010-12-20,1,3
98,sem-medo-as-cancoes-de-luciano-ligabue,tt1694539,Sem Medo As Canções De Luciano Ligabue,2010-12-20,2010-12-20,1,3
97,primavera-verao-outono-inverno-e-primavera,tt0374546,Primavera Verão Outono Inverno e Primavera,2010-12-20,2010-12-20,1,4
96,mic-macs-um-plano-complicado,tt1149361,Micmacs Um Plano Complicado,2010-12-20,2012-06-04,2,4
95,folego,tt0901475,Fôlego,2010-12-20,2010-12-20,1,4
94,donnie-darko,tt0246578,Donnie Darko,2010-12-20,2010-12-20,1,4
93,concorrencia-desleal,tt0254235,Concorrência Desleal,2010-12-20,2010-12-20,1,3
92,a-ilha-dos-mortos,tt1134854,A Ilha dos Mortos,2010-12-20,2010-12-20,1,4
91,aparecida-o-milagre,tt1832288,Aparecida O Milagre,2010-12-19,2010-12-19,1,3
90,tron-o-legado,tt1104001,Tron O Legado,2010-12-17,2010-12-17,1,3
89,a-setima-alma,tt0872230,A Sétima Alma,2010-12-14,2010-12-14,1,3
88,tetro,tt0964185,Tetro,2010-12-10,2010-12-10,1,3
